,text,polarity,favourite_count,retweet_count,created_at,compound,neg,neu,pos,sentiment
287,I gather my wife will gladly forward her phone number to brentpope 😳😳 tommytiernan,positive,17,0,2022-02-05 22:07:12+00:00,0.4019,0,0.802,0.198,Positive
288,"Brilliant interview with Brent Pope, I love how open and honest he is ",positive,10,0,2022-02-05 22:07:06+00:00,0.9062,0,0.493,0.507,Positive
289,"“real men do cry, real men do show their emotions’ 🙏🏻",positive,21,1,2022-02-05 22:06:40+00:00,-0.4767,0.181,0.819,0,Negative
290,"Brent Pope.
Respect.
It's ok not to be ok.
",positive,30,1,2022-02-05 22:06:33+00:00,0.6486,0,0.602,0.398,Positive
291,What do we pay Tubridy for at all?!  BrentPope,negative,15,0,2022-02-05 22:05:49+00:00,-0.1759,0.158,0.842,0,Negative
292,I love the honesty of this interview with @RealBrentPope ,positive,7,0,2022-02-05 22:05:08+00:00,0.8126,0,0.519,0.481,Positive
293,"The overriding theme of this seasons  has been the issue of Mens Mental Health &amp; tonights interview with Brent Pope is no exception. Great to see the age old idea that ""real men don't cry"" being blown out of the water!",neutral,224,11,2022-02-05 22:05:05+00:00,-0.4993,0.122,0.824,0.054,Negative
294,I seriously hope Brent knows how much love and admiration the people of ireland have for him....!! True gent...,positive,65,1,2022-02-05 22:05:01+00:00,0.9229,0.057,0.472,0.471,Positive
295,“Don’t sure your injury…don’t show weakness…that was my life”- Brent Pope ,neutral,1,0,2022-02-05 22:04:58+00:00,0.3182,0,0.827,0.173,Positive
296,I'll never forgive Brent Pope for punching Brossie in the AIL FINAL. ,negative,0,0,2022-02-05 22:04:51+00:00,-0.2057,0.131,0.869,0,Negative
297,I could Liston to Brent Pope all night ,positive,10,1,2022-02-05 22:04:11+00:00,0,0,1,0,Neutral
298,“I remember a call to the Samaritans one night…they saved my life”- Brent Pope on  being very open about his struggles with anxiety and depression &amp; how hard it was for others to understand how a big tough rugby player could have such difficulties,positive,70,4,2022-02-05 22:03:36+00:00,-0.802,0.242,0.706,0.052,Negative
299,good evening everyone nowwatching ,positive,1,0,2022-02-05 22:03:15+00:00,0.4404,0,0.58,0.42,Positive
300,"Brent Pope on  a successful sportsman opening up about mentalhealth a strong/warrior/hero, it’s in all of us",positive,21,1,2022-02-05 22:03:12+00:00,0.5859,0,0.817,0.183,Positive
301,Always admired @RealBrentPope One of the good guys!! ,positive,8,1,2022-02-05 22:02:00+00:00,0.7772,0,0.508,0.492,Positive
302,"Brent you're one of us Mo Chara 🇮🇪
",positive,10,0,2022-02-05 22:01:58+00:00,0,0,1,0,Neutral
303,Pure admiration for Brent Popes honesty ,positive,13,0,2022-02-05 22:01:55+00:00,0.7717,0,0.427,0.573,Positive
304,"“I’ve a feeling I’ve a brother living in Ashburton”

It’s a small world for @Tommedian and @RealBrentPope  

 ://t.co/UQGW7GOb8b",neutral,117,3,2022-02-05 22:01:15+00:00,0.128,0,0.923,0.077,Positive
305,"I really admire @RealBrentPope, a powerful advocate for men’s mental health. It’s important that men of a certain age talk about how their younger selves got through the hard times. ",positive,770,18,2022-02-05 22:01:07+00:00,0.8268,0.037,0.693,0.269,Positive
306,“It’s a strong man who knows how weak he truly is” brentpope  tommytiernan @RealBrentPope,positive,11,1,2022-02-05 22:00:57+00:00,0.5106,0.137,0.569,0.294,Positive
307,"Battle of the fancy socks, Brent Pope is always an interesting person to listen too!  ",positive,3,0,2022-02-05 22:00:45+00:00,0.1007,0.133,0.715,0.153,Positive
308,We should never underestimate being a good “friend” to someone ,positive,15,0,2022-02-05 22:00:45+00:00,0.5842,0,0.653,0.347,Positive
309,"Always love to hear Brent Pope, He is a gent, met him a few times out and about. ",positive,14,0,2022-02-05 21:59:22+00:00,0.6369,0,0.811,0.189,Positive
310,Glad yo see brent pope looking so well. I believe he was ill of late  ,positive,2,0,2022-02-05 21:58:30+00:00,0.4481,0.13,0.603,0.267,Positive
311,"Id say Brent Pope hammered plenty of ol wans on these shores
",positive,0,0,2022-02-05 21:58:18+00:00,0,0,1,0,Neutral
312,"Tiernan has no preparation for his guests unlike Ryan Tubridy who must have weeks and he still makes a bollox of it!
The useless cunt!
",negative,6,0,2022-02-05 21:56:25+00:00,-0.8309,0.276,0.724,0,Negative
313,Tommy warming up...  ,neutral,1,0,2022-02-05 21:54:20+00:00,0.1531,0,0.652,0.348,Positive
314,"The first guest chatting to @Tommedian tonight is rugby analyst @RealBrentPope 🏉  

 ://t.co/CZBtGOWQxl",neutral,35,3,2022-02-05 21:54:09+00:00,0,0,1,0,Neutral
315,Massive fan of the sheer comedic genius @Tommedian. A perfect blend of witty stand-up &amp; true master storyteller. Why is the delightfully glorious Derry Girls done after the upcoming 3rd season? Time for a new episode of his utterly terrific chat-show...... ,positive,2,1,2022-02-05 21:51:25+00:00,0.9712,0,0.606,0.394,Positive
316,Another storm on the way . But at least there's  ://t.co/DXerW9Hk9V,neutral,1,0,2022-02-05 21:48:55+00:00,0,0,1,0,Neutral
317,Another bloomin superb episode of the  The stories Jimmy White must have from the 70s and 80s! They could have gone on for another hour at least ://t.co/v2mEluD7eD,positive,1,0,2022-02-13 19:42:06+00:00,0.6588,0,0.864,0.136,Positive
318,"Always adored @jimmywhite147 fantastic interview on the  will be rooting for ya Jimmy🤞 if u see it, you can achieve it🙌 keep dreaming big, champ💪 ://t.co/GsslAwKuUC",positive,0,0,2022-02-13 18:40:48+00:00,0.8591,0,0.759,0.241,Positive
319,"As entertaining as Parky back in the day, as engaging as Gaybo was when his show was unique &amp; Ireland bleak. 

He's relentlessly good &amp; still viewers have Tubs 🙄 &amp; D'arcy forced upon them. 

RTE ignoring Twitter 

Compare  &amp;  ://t.co/JLtSjXsg5s",positive,2,0,2022-02-13 17:39:40+00:00,0.3612,0.104,0.747,0.149,Positive
320,"The  on RTE is being praised as ""the best thing on television""

://t.co/qEuG01Uqar",positive,5,1,2022-02-13 15:40:00+00:00,0.8126,0,0.619,0.381,Positive
321,Great interview with my snooker hero Jimmy White on the  last night. I wouldn't have forgotten that I had met him though!,positive,1,0,2022-02-13 12:50:01+00:00,0.8644,0,0.674,0.326,Positive
322,"….There will be so many grown men crying if you win the world champs, Jimmy. Go for it. Defy the age critics. You’ve the headspace for it now more than ever. snookerloopy  @jimmywhite147",positive,4,0,2022-02-13 12:07:50+00:00,0.3182,0.126,0.716,0.158,Positive
323,"Loving the names jimmy white is coming out with,  Maltese joe and flash bob 🤣 ",positive,11,0,2022-02-13 11:01:02+00:00,0.7964,0,0.717,0.283,Positive
324,I see someone really liked the  interview with JimmyWhite ://t.co/BCSbyNoaT1,positive,0,0,2022-02-13 10:03:54+00:00,0.4754,0,0.764,0.236,Positive
325,"People should never underestimate the power of “Just come home” whenever things might go wrong. 12 years ago I went to Australia with that line said to me, I knew that home was always an option and a few times it was used over the years and it’s still there ",neutral,9,0,2022-02-13 09:35:13+00:00,-0.2987,0.057,0.908,0.035,Negative
326,"Viewers of the  last night are hailing the programme as ""one of the best yet""

://t.co/qEuG02c11Z",positive,7,0,2022-02-13 09:20:00+00:00,0.6369,0,0.792,0.208,Positive
327,@Tommedian  @RTE1 going from strength to strength ☝️ another amazing show &amp; another brilliant interview with @jimmywhite147 who is inspiring to listen to and I wish him all the best going forward 👏🏻 it’s a must watch show ,positive,7,1,2022-02-13 09:14:13+00:00,0.9741,0,0.616,0.384,Positive
328,"Jimmy white was always my late grandmothers favourite player, used to love staying over at hers watching the snooker. Happier times  🎱 ",positive,12,0,2022-02-13 08:54:26+00:00,0.8225,0,0.752,0.248,Positive
329,"Viewers praise 'national treasure' Charlene McKenna following powerful interview about mental health on  

://t.co/URlpkQNFeL",positive,10,0,2022-02-13 08:31:13+00:00,0.8225,0,0.583,0.417,Positive
330,Charlene McKenna mentioned ‘being mad as a box of frogs’ add in Jimmy White and Brush Shields and that was some mix in the green room on the  three great chats and very entertaining. The music act from Lucan was super (can’t remember her name). Great show 👍🏻😊,negative,11,0,2022-02-13 08:12:43+00:00,0.9589,0.042,0.676,0.282,Positive
331,"Absolutely loved this interview last night. Brush was always mad but in a brilliant way. When you think people like him got left behind for reality tv ‘influencers’ that cant even spell their own name

Brilliant show last night @Tommedian Loved all 3 interviews  ://t.co/UeObCGpIxS",positive,20,1,2022-02-13 07:57:24+00:00,0.9702,0.033,0.628,0.339,Positive
332,"The  is excellent,   an extremely rare RTE diamond, hen's tooth rare.  A man with a gift for interviews.",positive,9,0,2022-02-13 06:47:15+00:00,0.8505,0,0.633,0.367,Positive
333,@psu_82 @Medic3405 @OccupyDemocrats She meant every word of her stupid racist comment. All involved should be fired. StopTheHate  whitewash TruckersForFreedom  TREASURE_JIKJIN_D2 TREASURE TATAIPLAuction MSNBC,negative,0,0,2022-02-13 05:36:31+00:00,-0.8388,0.305,0.583,0.112,Negative
334," interview ""ah eh ah yeah,OK and eh, do you own a bicycle? Load of rubbish.",negative,1,0,2022-02-13 05:04:52+00:00,0,0,1,0,Neutral
335,"Hays off to Jimmy White.. what a interview probably one if the best interviews I've seen.. different class 
Love how Tommy tiernan just the guest talk what they want.. ",positive,7,0,2022-02-13 00:31:02+00:00,0.8658,0,0.736,0.264,Positive
336,Jimmy white Charlene McKenna and then brush shield mad or not that was brilliant . See brush shield play in cahir many years back .  ,positive,2,0,2022-02-13 00:28:04+00:00,-0.5956,0.198,0.726,0.076,Negative
337,Brilliant to see Jimmy White on ,positive,3,0,2022-02-13 00:23:24+00:00,0.5859,0,0.612,0.388,Positive
338,"@odowdjb @VogueWilliams Ah fair enough and we are all the same vintage so but Tommy has been in the loop for a long time now so I thought he would be more in tune with some of these Irish ""celebrities"" ",positive,0,0,2022-02-13 00:20:51+00:00,0.1655,0,0.96,0.04,Positive
339,"The toilet attendant at the end was shite 

",negative,1,0,2022-02-13 00:18:55+00:00,0,0,1,0,Neutral
340,I saw Brush Shiels play a couple of times in the East End Hotel in Portarlington around 04/05 and he was an absolute showman. Still is. True rock n roller ,positive,12,2,2022-02-13 00:17:07+00:00,0.6369,0,0.848,0.152,Positive
341,Amazing to think  Tommy didn’t even know Charlene Mc Kenna …strange and the same when @VogueWilliams appeared on the show…great show thought ,positive,0,0,2022-02-13 00:00:28+00:00,0.5859,0,0.853,0.147,Positive
342,AbiCoulibaly has effortless cool. She and her band have star quality. ,positive,5,0,2022-02-13 00:00:00+00:00,0.3182,0,0.827,0.173,Positive
343,"Would love to see  interview the Russian ambassador...
RTEPT",neutral,1,0,2022-02-15 21:55:09+00:00,0.6369,0,0.682,0.318,Positive
344,Wouldn't it be the Greatest sporting moment of all time if Jimmy White won the World Title...I couldn't cope if that happened!!! ,positive,1,0,2022-02-15 14:51:52+00:00,0.8682,0,0.705,0.295,Positive
345,"Tommy Tiernan and Ryan Tubridy are close in the ratings race. 

RTE  

://t.co/McpEPc3AV2",neutral,0,0,2022-02-15 13:45:00+00:00,0,0,1,0,Neutral
346,"Stop voting for the likes of Paschal &amp; FG who have a million citizens in pain on waiting lists including many vulnerable children
TonightVMTV rtept todaycb liveline rteprimetime   ",negative,1,0,2022-02-17 22:08:13+00:00,-0.5574,0.199,0.726,0.075,Negative
347,Saving for ten years to study in Ireland. Inspiring appearance on  ://t.co/ERXkI2IfKn,positive,4,0,2022-02-21 20:51:36+00:00,0.4215,0,0.811,0.189,Positive
348,"@JackKavanaghIRL I never tweet, never mind tweet to someone. You are exactly my kind of inspiration. Brilliant interview, entertaining, funny, inspiring and the type of young fella I’d loved my sons to become 👏👏👏 my sincere best wishes to you f",positive,0,0,2022-02-21 20:45:20+00:00,0.9797,0,0.57,0.43,Positive
349,"I watch the  every week on the RTE player here in Valencia Comunidad, but I can't get last night's episode somehow. @RTEplayer",positive,1,0,2022-02-20 22:02:45+00:00,0,0,1,0,Neutral
350,Congrats to our friend @RazanIRL on a great appearance on the @Tommedian show. What a bright light she is. Watch Razan on @RTEplayer here - ://t.co/wY2jp0YQoh  ://t.co/70w9H7bIYk,positive,7,2,2022-02-20 21:04:37+00:00,0.9274,0,0.638,0.362,Positive
351,"What a legend that @JackKavanaghIRL was on  last night. Remarkable young lad, lads like him make me feel very proud to be irish this lad has a great future ahead and ireland will be all better for it. Gowan @Tommedian ://t.co/l6sOoROmWq",positive,2,1,2022-02-20 20:23:29+00:00,0.9476,0,0.692,0.308,Positive
352,Great interview on the  last night ://t.co/ltu2tFIEGm,positive,6,0,2022-02-20 18:12:00+00:00,0.6249,0,0.631,0.369,Positive
353,"@RazanIRL @Tommedian When Ivor Browne was been interviewed in Galway at age 90 @Tommedian repeated every question from audience back to Ivor, as he is heard of hearing and wears a hearing aid 💙

 TommyTiernan ://t.co/TsxRterQN0",neutral,10,3,2022-02-20 16:21:12+00:00,0.6369,0,0.898,0.102,Positive
354,"I just played catch up on the last 4 episodes of the . We're so lucky to have this fantastic TV show that has the time and space to shine a light on so many aspectis of Irish soceity. Fair play to all involved!

@Tommedian TommyTiernan",positive,17,1,2022-02-20 14:40:14+00:00,0.9355,0,0.729,0.271,Positive
355,"@RazanIRL @Tommedian It was great to see you on the programme last night. Your perseverance in life is amazing.
",positive,2,0,2022-02-20 13:59:54+00:00,0.836,0,0.695,0.305,Positive
356,Tommy Tiernan is different. He asks questions no one would think to ask. He listens &amp; gives all the time to refect &amp; answer. It was like a therapy or a random chat with a dear friend. Thank you @Tommedian &amp; to the incredible team for giving me this opportunity.  ://t.co/J7gdfc0ULX,positive,1139,43,2022-02-20 13:22:19+00:00,0.9196,0.035,0.709,0.256,Positive
357,"""In an instant, you're as vulnerable as a new-born again. I was on a ventilator learning to breathe”

 

://t.co/fAgl6nhMEs",neutral,4,1,2022-02-20 13:00:00+00:00,-0.2263,0.091,0.909,0,Negative
358,"So, so proud of @StrangeBoyWha who was his usual all-time great self last night on The 
The video of Sorrow is now online: ://t.co/CnzUQHOA73

Thank you @RTEOne &amp; Tommy and @louisecbarker &amp; the wonderful band and all who believe in Strange Boy💗💗",neutral,14,7,2022-02-20 12:55:35+00:00,0.9652,0.077,0.547,0.377,Positive
359,That was an incredible and emotional interview with Jack Kavanagh. Brilliant viewing 👏👏👏 ,positive,4,1,2022-02-20 12:43:38+00:00,0.6887,0,0.75,0.25,Positive
360,"Do yourself a favour today and watch this incredible interview with @JackKavanaghIRL on the @RTEplayer
 
@Tommedian shows us all yet again what real listening and real conversation looks like 
://t.co/wRd5odr3KD ://t.co/OlZDXeoxMg",positive,4,0,2022-02-20 12:29:26+00:00,0.6597,0,0.847,0.153,Positive
361,A remarkable interview as always by @Tommedian of an utterly remarkable young man @JackKavanaghIRL  ://t.co/CgfKeUK67M,positive,3,0,2022-02-20 11:14:38+00:00,0.8173,0,0.651,0.349,Positive
362,"Catching up on the player today &amp; completely blown away by @JackKavanaghIRL   
What an extraordinary young man. What an extraordinary interview! ",positive,4,1,2022-02-20 11:11:15+00:00,0,0,1,0,Neutral
363,"@JackKavanaghIRL was outstanding &amp; inspiring on the  last night, &amp; @Tommedian was, once again, a fantastic interviewer. 

@rte, isn't it time we said goodbye to that Friday night drivel (you know the one) and let a far better TV s",positive,0,0,2022-02-20 10:38:40+00:00,0.9231,0,0.736,0.264,Positive
364,"Checking out the Arechi pitch 🔎
SalernitanaMilan SempreMilan @TureGaro turegaro TheBatmanMovie  YNWA ://t.co/w42MVjaeC6",neutral,0,0,2022-02-20 09:36:06+00:00,0,0,1,0,Neutral
365,"@JackKavanaghIRL is such an inspirational guy. 💫

 ://t.co/fWD3XGAHmX",positive,2,0,2022-02-20 09:26:05+00:00,0.34,0.156,0.574,0.27,Positive
366,"The  is just wonderful, and last night's episode was one of the best. Humbled by the guests.",positive,13,0,2022-02-20 09:04:03+00:00,0.836,0,0.669,0.331,Positive
367,"RTE's Tommy Tiernan Show viewers were left in awe after a ""raw and honest"" interview with performance and resilience coach Jack Kavanagh
rte 

://t.co/A75TyHvPZm",positive,8,0,2022-02-20 08:30:00+00:00,0.5106,0,0.879,0.121,Positive
368,If you enjoying a post Covid restrictions night out and missed the  - do yourself a favour and watch it on the @RTEplayer ://t.co/wnlFCDcPxV,positive,20,0,2022-02-20 08:10:39+00:00,0.6249,0.072,0.721,0.207,Positive
369,Happy to invite you to Mass online at 11am at ://t.co/Ty8vmPyw0w from @ScalaRetreat sundayvibes SundayMorning @RedComsIreland  DublinGAA @BlackrockVlg  liturgy JFK gospel worship SundayService @ClonardMBelfast vulnerability Luke @JamesMartinSJ ://t.co/YZLjjQm3zD,neutral,0,0,2022-02-20 08:01:32+00:00,0.6808,0.055,0.727,0.218,Positive
370,How exciting too see our friend and mentor @JackKavanaghIRL on the . Jack takes our second years for a workshop and it is always a highlight. Great Interview! Hopefully he’ll be back in the Trinity Centre quite soon WatchThisSpace @TrinityMed1 @tcdsu ://t.co/Wcc4e8Pl6c,positive,22,3,2022-02-20 07:45:54+00:00,0.9422,0,0.7,0.3,Positive
371,A timely reminder when all we seem to be worried about is throwing away our masks. What a beautiful human being @JackKavanaghIRL is ..thank you Jack for being you !  ://t.co/gkqdzc5nDv,positive,5,0,2022-02-20 04:12:47+00:00,0.6696,0.058,0.765,0.177,Positive
372,"Great show again tonight. 
All interviews different. 
Guests great too.
Well done again to all involved in this show especially Tommy. ",positive,0,0,2022-02-20 01:56:46+00:00,0.8834,0,0.648,0.352,Positive
373,Tough gig following @JackKavanaghIRL I think he knew there’d be questions about the horn! ,neutral,2,0,2022-02-20 01:33:55+00:00,-0.2003,0.113,0.887,0,Negative
374,@LeoForde @HughGillanders Remarkable young man Leo. Adam was so moved by @JackKavanaghIRL interview. It's quite something to hear one wheelchair user talk of how another wheelchair user is motivational &amp; inspiring. Renewed hope for his future tonight.,positive,43,0,2022-02-20 01:24:48+00:00,0.8519,0,0.785,0.215,Positive
375,@Tommedian had a radio show with @hectorirl it took me through some dark times but people seemed to diss Tommy now they are showing love for his tv interviews. Great to see the cream rise to the top ,positive,1,0,2022-02-20 00:46:22+00:00,0.9398,0,0.725,0.275,Positive
376,Forget about Paul Mescals chain I want Tommy Tiernans hat .,positive,0,0,2022-02-20 00:36:59+00:00,-0.1531,0.156,0.738,0.107,Negative
377,What an inspirational and incredible interview. I had the honour to watch @JackKavanaghIRL live in studio and meet him in person.  The highlight of  show ♥️ ://t.co/3GKjlahjEC,positive,167,8,2022-02-20 00:27:42+00:00,0.9274,0,0.648,0.352,Positive
378,"@HughGillanders Truly brilliant 👏
Well done Tommy Tiernan AGAIN. 
 @JackKavanaghIRL @Tommedian 
",positive,4,0,2022-02-20 00:18:33+00:00,0.8316,0,0.532,0.468,Positive
379,Absolutely banging performance of Sorrow from @StrangeBoyWha and his merry band of musicians. Legend ,positive,17,4,2022-02-20 00:01:09+00:00,0.0258,0.171,0.653,0.176,Positive
380," what amazing guests @JackKavanaghIRL @ClaireEmmadunne and @RazanIRL - such powerful, emphatic interviews👏👏👏",positive,7,0,2022-02-19 23:54:49+00:00,0.765,0,0.72,0.28,Positive
381,"The  unreal again.

The pain seen &amp; witnessed by @RazanIRL &amp; so bravely shared with us to the sorrow within expressed in rhyme by @StrangeBoyWha all connected back to Limerick 

Every day I realise among us there are some incredible people.",positive,25,3,2022-02-19 23:50:03+00:00,0.0566,0.13,0.736,0.134,Positive
382,"Such mental strength, what a hand to be dealt...an incredible inspirational guy and a great sense of humour. 
Loved this interview  😍 ://t.co/4kxCwBL0uZ",positive,13,1,2022-02-19 23:40:16+00:00,0.9753,0,0.454,0.546,Positive
383,"
Tommy, amazing that you interview ordinary people doing extraordinary things. I'm blown away by that lady from Syria &amp; Jack Kavanagh unreal capturing real life stories... you really connect with people and get the best out of everyone",positive,5,0,2022-02-19 23:32:11+00:00,0.8402,0,0.822,0.178,Positive
384,"1st half: inspirational.
2nd half: instantly forgettable.
3rd half: can't put finger on it but something was off ?
music : tragic

 ",negative,2,0,2022-02-19 23:23:40+00:00,-0.431,0.147,0.773,0.079,Negative
385,"@JackKavanaghIRL you have just such an amazing presence, grateful to have met you and you have such a natural ability to speak, thank you❤️  ://t.co/RpA8AuQdaI",positive,2,0,2022-02-19 23:19:48+00:00,0.9201,0,0.62,0.38,Positive
386,@JackKavanaghIRL @Tommedian @JackKavanaghIRL it was a real pleasure listening in on your chat with @Tommedian    You’re a cool dude,positive,7,0,2022-02-19 23:15:49+00:00,0.7184,0,0.75,0.25,Positive
387,Loved this interview @JackKavanaghIRL @Tommedian  ://t.co/fnnhyS0uct,positive,4,0,2022-02-19 23:13:45+00:00,0.5994,0,0.606,0.394,Positive
388,Literally catching my breath &amp; in tears at the chat between Jack &amp; @Tommedian Saying his dad is his best friend …. ,positive,10,0,2022-02-19 23:13:14+00:00,0.7579,0.065,0.683,0.253,Positive
389,Poignant &amp; insightful interview with the brilliant @RazanIRL ,positive,4,0,2022-02-19 23:11:08+00:00,0.5859,0,0.678,0.322,Positive
390,Best show this season. Great guests. Tommy has a rare gift. ,positive,6,0,2022-02-19 23:09:58+00:00,0.9042,0,0.446,0.554,Positive
391,No I am very happy to have lots of love and also a healthy dose of skepticism in my heart. . ://t.co/SDRprKBs5l,positive,2,0,2022-02-19 23:09:38+00:00,0.9168,0.119,0.453,0.428,Positive
392,"Good man Vincent, shout your abuse and run away 🙄 I reckon you don’t know what the word racist means, perhaps it is just a handy schoolyard throwaway.  ://t.co/Ji5rYn599e",negative,3,0,2022-02-19 23:07:13+00:00,-0.743,0.2,0.73,0.071,Negative
393,Anyone else stressing about how many episodes are left? Can’t cope with the thought of it ending  ,positive,1,0,2022-02-19 23:07:07+00:00,-0.3612,0.128,0.872,0,Negative
394,"What an Incredible human @JackKavanaghIRL is ! You’re such an Inspirational person, so positive and strong ",positive,2,0,2022-02-19 23:07:04+00:00,0.9011,0,0.559,0.441,Positive
395,👀 ⁦@StrangeBoyWha⁩ backstage before the  💙 ://t.co/J0od1D7HuC,neutral,72,9,2022-02-19 23:06:35+00:00,0.6369,0,0.656,0.344,Positive
396,Strange Boy knocking it out of the park on   'mon Luimneach!,positive,15,2,2022-02-19 23:05:40+00:00,-0.2714,0.16,0.84,0,Negative
397,"@RazanIRL lovely interview with @Tommedian on  show, fair play 👏🏻",positive,3,0,2022-02-19 23:05:33+00:00,0.8176,0,0.585,0.415,Positive
398,@GeorgeG48293103 @qualann @LaurenceTheBird She was already in Ireland. Do you not know how the refugee thing works. ,negative,5,0,2022-02-19 23:05:15+00:00,0,0,1,0,Neutral
399,Superb interviews with amazing  guests ,positive,4,0,2022-02-19 23:03:59+00:00,0.836,0,0.336,0.664,Positive
400,What makes @RazanIRL sad and angry! The lack of world cooperation on things like the global COVID pandemic and climate change. ,negative,7,1,2022-02-19 23:03:59+00:00,-0.7574,0.305,0.61,0.085,Negative
401,@RazanIRL really interesting hearing your story on .  It's also uplifting to hear real life success stories and great to see you're doing so well for yourself here in Ireland.,positive,11,1,2022-02-19 23:03:16+00:00,0.9265,0,0.658,0.342,Positive
402,"Very proud of this dude performing on the  tonight 

Hup @StrangeBoyWha 🇮🇪 🍻 

‘Sorrow’ features on Strange Boy’s debut album ‘Holy/Unholy’ ://t.co/A63aLyaNHr ://t.co/GIV5hJFyPe",positive,72,9,2022-02-19 23:02:45+00:00,0.3804,0.062,0.822,0.116,Positive
403," another wonderful heartfelt conversation to enlighten us, thank you @RazanIRL for sharing",positive,5,0,2022-02-19 23:02:39+00:00,0.9413,0,0.336,0.664,Positive
404,"Brilliant to see @StrangeBoyWha on RTE of a Saturday night. 
 ://t.co/nTRM5tGlV0",positive,30,3,2022-02-19 23:02:33+00:00,0.5859,0,0.743,0.257,Positive
405,Aboy Strange Boy! Great performance! His rap/trad hybrid is so unique &amp; wonderful.  TommyTiernan,positive,17,1,2022-02-19 23:02:29+00:00,0.8337,0.08,0.535,0.385,Positive
406,"Did Tommy tell his motorcyclist NRC ""joke"" to the first guest then?
 TommyTiernan",neutral,0,0,2022-02-19 23:01:49+00:00,0.296,0,0.855,0.145,Positive
407,"@RTEOne @Tommedian @RazanIRL Amazing reliance determination and perservance @RazanIRL 
You deserve every good wish and happiness. 
",positive,11,0,2022-02-19 23:01:48+00:00,0.9403,0,0.433,0.567,Positive
408,Another great show Tommy with super interesting guests!! ,positive,1,0,2022-02-19 23:01:28+00:00,0.9059,0,0.347,0.653,Positive
409,A double win for Ireland ? How so ?  ://t.co/TyEttSc12l,positive,0,0,2022-02-19 23:01:26+00:00,0.6322,0,0.706,0.294,Positive
410,@StrangeBoyWha ..powerful words and music 🎶 ,neutral,7,1,2022-02-19 23:01:23+00:00,0.4215,0,0.714,0.286,Positive
411,Well… if you enjoyed  tonight don’t forget to check out @Tommedian @hectorirl @lauritablewitt every Monday and Thursday on the THL Podcast!! 🎧 at ://t.co/Xcs964oXVQ ://t.co/qkWsVRDH5Z,neutral,11,1,2022-02-19 23:01:22+00:00,0.4559,0.064,0.806,0.13,Positive
412,"What an amazing man jack is, just gets the comedy in every day life! ",positive,4,0,2022-02-19 23:01:10+00:00,0.7644,0,0.664,0.336,Positive
413,But he sounds good. What did he say his name was? ,positive,0,0,2022-02-19 23:00:47+00:00,0.5927,0,0.741,0.259,Positive
414,I really enjoyed Razan Ibraheem. A remarkable person. ,positive,9,0,2022-02-19 23:00:46+00:00,0.8016,0,0.493,0.507,Positive
415,"How many AHB &amp; council houses are given to ""refugees"" first before the native Irish who are struggling to even get HAP? Can't the ""refugees"" do years on HAP first before councils and especially ABH give them the few new built A rated homes
 TommyTiernan",negative,0,0,2022-02-19 23:00:27+00:00,-0.4215,0.059,0.941,0,Negative
416,Where are we going ???  Are you applying the immigrant censorship rule ??   nocommentsallowed ://t.co/79wNuwLVSZ,neutral,1,0,2022-02-19 23:00:26+00:00,0,0,1,0,Neutral
417,"At these times when we can be seriously overwhelmed with nothing but negative news stories, master storyteller @Tommedian brings a sheer sense of genuine warmth to his interviewing style, that sadly alot of hosts sorely lack. Can't wait for more....... ",positive,18,2,2022-02-19 23:00:13+00:00,0.2725,0.154,0.672,0.175,Positive
418,Cry just cry caused I have just had to listen to that ,negative,1,0,2022-02-19 23:00:03+00:00,-0.7351,0.36,0.64,0,Negative
419,"Another lessson in how to interview by @Tommedian and sheer genius in the guest selection by his production team. Hit topics such as disability, resilience homelessness, refugees and war in what was an emotional but also uplifting show 👏👏",positive,237,4,2022-02-19 23:00:00+00:00,-0.2846,0.056,0.914,0.03,Negative
420,Brilliant @StrangeBoyWha.  ,positive,8,1,2022-02-19 23:00:00+00:00,0.5859,0,0.345,0.655,Positive
421,He must be fucking sweltering!  ,neutral,2,0,2022-02-19 22:59:58+00:00,0,0,1,0,Neutral
422,"@Health_HIV2030 @RazanIRL @merrionstreet There can never be unity in this world because the dominate economic system is based on competition not coparation. 
The choice is, socalism or barbarism.
",negative,3,0,2022-02-19 22:59:44+00:00,-0.128,0.051,0.949,0,Negative
423,He’s making maggots ,negative,2,0,2022-02-19 22:59:40+00:00,0,0,1,0,Neutral
424,"Great mix of interviews and people with different stories to tell as usual. 

",positive,1,0,2022-02-19 22:59:24+00:00,0.6249,0,0.76,0.24,Positive
425,"Stories and conversation and yet it's mind-blowing and emotional television. Brilliant show tonight  

... and go on @StrangeBoyWha !!",positive,25,2,2022-02-19 22:59:21+00:00,0.717,0,0.751,0.249,Positive
426,"Every week, great interviews and horrendous music. ",neutral,2,0,2022-02-19 22:59:19+00:00,0.0772,0.273,0.432,0.295,Positive
427,where do they find the music acts?!  ,neutral,2,0,2022-02-19 22:59:16+00:00,0,0,1,0,Neutral
428,I always wondered what happened to the costumes from New Order’s True Faith video.  ://t.co/CrobK7SfT9,neutral,30,2,2022-02-19 22:59:16+00:00,0.6808,0,0.714,0.286,Positive
429,"You won’t find the benefit of that coat when you go outside, the husband is after saying 👏🤣  ",neutral,13,0,2022-02-19 22:58:22+00:00,0.7351,0,0.788,0.212,Positive
