,text,polarity,favourite_count,retweet_count,created_at
378,"@HughGillanders Truly brilliant 👏
Well done Tommy Tiernan AGAIN. 
 @JackKavanaghIRL @Tommedian 
#TommyTiernanShow",positive,4,0,2022-02-20 00:18:33+00:00
379,Absolutely banging performance of Sorrow from @StrangeBoyWha and his merry band of musicians. Legend #TommyTiernanShow,positive,17,4,2022-02-20 00:01:09+00:00
380,"#TommyTiernanShow what amazing guests @JackKavanaghIRL @ClaireEmmadunne and @RazanIRL - such powerful, emphatic interviews👏👏👏",positive,7,0,2022-02-19 23:54:49+00:00
381,"The #TommyTiernanShow unreal again.

The pain seen &amp; witnessed by @RazanIRL &amp; so bravely shared with us to the sorrow within expressed in rhyme by @StrangeBoyWha all connected back to #Limerick 

Every day I realise among us there are some incredible people.",positive,25,3,2022-02-19 23:50:03+00:00
382,"Such mental strength, what a hand to be dealt...an incredible inspirational guy and a great sense of humour. 
Loved this interview #TommyTiernanShow 😍 https://t.co/4kxCwBL0uZ",positive,13,1,2022-02-19 23:40:16+00:00
383,"#TommyTiernanShow
Tommy, amazing that you interview ordinary people doing extraordinary things. I'm blown away by that lady from Syria &amp; Jack Kavanagh #unreal capturing real life stories... you really connect with people and get the best out of everyone",positive,5,0,2022-02-19 23:32:11+00:00
384,"1st half: inspirational.
2nd half: instantly forgettable.
3rd half: can't put finger on it but something was off ?
music : tragic

 #TommyTiernanShow",negative,2,0,2022-02-19 23:23:40+00:00
385,"@JackKavanaghIRL you have just such an amazing presence, grateful to have met you and you have such a natural ability to speak, thank you❤️ #TommyTiernanShow https://t.co/RpA8AuQdaI",positive,2,0,2022-02-19 23:19:48+00:00
386,@JackKavanaghIRL @Tommedian @JackKavanaghIRL it was a real pleasure listening in on your chat with @Tommedian #TommyTiernanShow   You’re a cool dude,positive,7,0,2022-02-19 23:15:49+00:00
387,Loved this interview @JackKavanaghIRL @Tommedian #TommyTiernanShow https://t.co/fnnhyS0uct,positive,4,0,2022-02-19 23:13:45+00:00
388,Literally catching my breath &amp; in tears at the chat between Jack &amp; @Tommedian Saying his dad is his best friend …. #TommyTiernanShow,positive,10,0,2022-02-19 23:13:14+00:00
389,Poignant &amp; insightful interview with the brilliant @RazanIRL #TommyTiernanShow,positive,4,0,2022-02-19 23:11:08+00:00
390,Best show this season. Great guests. Tommy has a rare gift. #TommyTiernanShow,positive,6,0,2022-02-19 23:09:58+00:00
391,No I am very happy to have lots of love and also a healthy dose of skepticism in my heart. #TommyTiernanShow. https://t.co/SDRprKBs5l,positive,2,0,2022-02-19 23:09:38+00:00
392,"Good man Vincent, shout your abuse and run away 🙄 I reckon you don’t know what the word #racist means, perhaps it is just a handy schoolyard throwaway. #TommyTiernanShow https://t.co/Ji5rYn599e",negative,3,0,2022-02-19 23:07:13+00:00
393,Anyone else stressing about how many episodes are left? Can’t cope with the thought of it ending  #TommyTiernanShow,positive,1,0,2022-02-19 23:07:07+00:00
394,"What an Incredible human @JackKavanaghIRL is ! You’re such an Inspirational person, so positive and strong #TommyTiernanShow",positive,2,0,2022-02-19 23:07:04+00:00
395,👀 ⁦@StrangeBoyWha⁩ backstage before the #TommyTiernanShow 💙 https://t.co/J0od1D7HuC,neutral,72,9,2022-02-19 23:06:35+00:00
396,Strange Boy knocking it out of the park on  #TommyTiernanShow 'mon Luimneach!,positive,15,2,2022-02-19 23:05:40+00:00
397,"@RazanIRL lovely interview with @Tommedian on #TommyTiernanShow show, fair play 👏🏻",positive,3,0,2022-02-19 23:05:33+00:00
398,@GeorgeG48293103 @qualann @LaurenceTheBird She was already in Ireland. Do you not know how the refugee thing works. #TommyTiernanShow,negative,5,0,2022-02-19 23:05:15+00:00
399,Superb interviews with amazing  guests #TommyTiernanShow,positive,4,0,2022-02-19 23:03:59+00:00
400,What makes @RazanIRL sad and angry! The lack of world cooperation on things like the global COVID pandemic and climate change. #TommyTiernanShow,negative,7,1,2022-02-19 23:03:59+00:00
401,@RazanIRL really interesting hearing your story on #TommyTiernanShow.  It's also uplifting to hear real life success stories and great to see you're doing so well for yourself here in Ireland.,positive,11,1,2022-02-19 23:03:16+00:00
402,"Very proud of this dude performing on the #TommyTiernanShow tonight 

Hup @StrangeBoyWha 🇮🇪 🍻 

‘Sorrow’ features on Strange Boy’s debut album ‘Holy/Unholy’ https://t.co/A63aLyaNHr https://t.co/GIV5hJFyPe",positive,72,9,2022-02-19 23:02:45+00:00
403,"#TommyTiernanShow another wonderful heartfelt conversation to enlighten us, thank you @RazanIRL for sharing",positive,5,0,2022-02-19 23:02:39+00:00
404,"Brilliant to see @StrangeBoyWha on RTE of a Saturday night. 
#TommyTiernanShow https://t.co/nTRM5tGlV0",positive,30,3,2022-02-19 23:02:33+00:00
405,Aboy Strange Boy! Great performance! His rap/trad hybrid is so unique &amp; wonderful. #TommyTiernanShow #TommyTiernan,positive,17,1,2022-02-19 23:02:29+00:00
406,"Did Tommy tell his motorcyclist NRC ""joke"" to the first guest then?
#TommyTiernanShow #TommyTiernan",neutral,0,0,2022-02-19 23:01:49+00:00
407,"@RTEOne @Tommedian @RazanIRL Amazing reliance determination and perservance @RazanIRL 
You deserve every good wish and happiness. 
#TommyTiernanShow",positive,11,0,2022-02-19 23:01:48+00:00
408,Another great show Tommy with super interesting guests!! #TommyTiernanShow,positive,1,0,2022-02-19 23:01:28+00:00
409,A double win for Ireland ? How so ? #TommyTiernanShow https://t.co/TyEttSc12l,positive,0,0,2022-02-19 23:01:26+00:00
410,@StrangeBoyWha ..powerful words and music 🎶 #TommyTiernanShow,neutral,7,1,2022-02-19 23:01:23+00:00
411,Well… if you enjoyed #TommyTiernanShow tonight don’t forget to check out @Tommedian @hectorirl @lauritablewitt every Monday and Thursday on the THL Podcast!! 🎧 at https://t.co/Xcs964oXVQ https://t.co/qkWsVRDH5Z,neutral,11,1,2022-02-19 23:01:22+00:00
412,"What an amazing man jack is, just gets the comedy in every day life! #TommyTiernanShow",positive,4,0,2022-02-19 23:01:10+00:00
413,But he sounds good. What did he say his name was? #TommyTiernanShow,positive,0,0,2022-02-19 23:00:47+00:00
414,I really enjoyed Razan Ibraheem. A remarkable person. #TommyTiernanShow,positive,9,0,2022-02-19 23:00:46+00:00
415,"How many AHB &amp; council houses are given to ""refugees"" first before the native Irish who are struggling to even get HAP? Can't the ""refugees"" do years on HAP first before councils and especially ABH give them the few new built A rated homes
#TommyTiernanShow #TommyTiernan",negative,0,0,2022-02-19 23:00:27+00:00
416,Where are we going ???  Are you applying the #immigrant censorship rule ?? #TommyTiernanShow  #nocommentsallowed https://t.co/79wNuwLVSZ,neutral,1,0,2022-02-19 23:00:26+00:00
417,"At these times when we can be seriously overwhelmed with nothing but negative news stories, master storyteller @Tommedian brings a sheer sense of genuine warmth to his interviewing style, that sadly alot of hosts sorely lack. Can't wait for more....... #TommyTiernanShow",positive,18,2,2022-02-19 23:00:13+00:00
418,Cry just cry caused I have just had to listen to that #TommyTiernanShow,negative,1,0,2022-02-19 23:00:03+00:00
419,"Another lessson in how to interview by @Tommedian and sheer genius in the guest selection by his production team. Hit topics such as disability, resilience homelessness, refugees and war in what was an emotional but also uplifting show 👏👏#TommyTiernanShow",positive,237,4,2022-02-19 23:00:00+00:00
420,Brilliant @StrangeBoyWha.  #TommyTiernanShow,positive,8,1,2022-02-19 23:00:00+00:00
421,He must be fucking sweltering!  #TommyTiernanShow,neutral,2,0,2022-02-19 22:59:58+00:00
422,"@Health_HIV2030 @RazanIRL @merrionstreet There can never be unity in this world because the dominate economic system is based on competition not coparation. 
The choice is, socalism or barbarism.
#TommyTiernanShow",negative,3,0,2022-02-19 22:59:44+00:00
423,He’s making maggots #TommyTiernanShow,negative,2,0,2022-02-19 22:59:40+00:00
424,"Great mix of interviews and people with different stories to tell as usual. 

#TommyTiernanShow",positive,1,0,2022-02-19 22:59:24+00:00
425,"Stories and conversation and yet it's mind-blowing and emotional television. Brilliant show tonight #TommyTiernanShow 

... and go on @StrangeBoyWha !!",positive,25,2,2022-02-19 22:59:21+00:00
426,"Every week, great interviews and horrendous music. #TommyTiernanShow",neutral,2,0,2022-02-19 22:59:19+00:00
427,where do they find the music acts?!  #TommyTiernanShow,neutral,2,0,2022-02-19 22:59:16+00:00
428,I always wondered what happened to the costumes from New Order’s True Faith video. #TommyTiernanShow https://t.co/CrobK7SfT9,neutral,30,2,2022-02-19 22:59:16+00:00
429,"You won’t find the benefit of that coat when you go outside, the husband is after saying 👏🤣  #TommyTiernanShow",neutral,13,0,2022-02-19 22:58:22+00:00
430,Eddie Hobbs young lad is deadly. #TommyTiernanShow,positive,11,0,2022-02-19 22:58:22+00:00
431,@RazanIRL was so interesting and absolutely inspiring on the #TommyTiernanShow tonight 👏🏻 Thank you for sharing your story!,neutral,8,0,2022-02-19 22:58:20+00:00
432,Strangeboy doing Limerick proud 💚💚💚💚#TommyTiernanShow,positive,4,0,2022-02-19 22:58:19+00:00
433,Ahh ffs Tommy can you get some descent musical act after a great show  #TommyTiernanShow,negative,3,0,2022-02-19 22:58:04+00:00
434,A must listen . @JackKavanaghIRL was just on #TommyTiernanShow @RTEOne . Inspirational as to how #JackKavanagh set his goal to get back to College. B probing qs by @Tommedian . Nothing spared. The v best of luck to you Jack on your life's journey. Handsome motivated bright man. https://t.co/vPsIhSO09f https://t.co/abJKRCTUQs,positive,13,0,2022-02-19 22:57:55+00:00
435,Appropriate name for the musical act #strangeboy #TommyTiernanShow,neutral,0,0,2022-02-19 22:57:53+00:00
436,@RazanIRL a truly beautiful interview on #TommyTiernanShow … you are an inspirational woman. 👏🏻👏🏻👏🏻,positive,9,0,2022-02-19 22:57:45+00:00
437,Poor lad must be sweltering in that jacket #TommyTiernanShow,negative,5,0,2022-02-19 22:57:20+00:00
438,Three seriously impressive people on the show tonight 😳#TommyTiernanShow,positive,21,1,2022-02-19 22:57:15+00:00
439,"The empathy, and the storytelling, is beautiful. #TommyTiernanShow",positive,13,0,2022-02-19 22:56:20+00:00
440,@JackKavanaghIRL well done Jack… you are an incredible young man … best regards to you! I wish you the very best for the future. @Tommedian #TommyTiernanShow,positive,5,0,2022-02-19 22:56:04+00:00
441,"An inspiration, from Syria @RazanIRL, a country &amp; city Damascus I wanted to visited when I worked in Iraq. So v sad the trajectory of this country #tommytiernan #TommyTiernanShow V Good the voices of Syrians being hear through Razan. These stories need to be told. @merrionstreet",positive,29,2,2022-02-19 22:55:24+00:00
442,This woman is fab 👏🏼#TommyTiernanShow,positive,22,0,2022-02-19 22:54:54+00:00
443,Is it your job to pick up the pieces of (War criminal) Barack Obama's subversion? #TommyTiernanShow,negative,3,2,2022-02-19 22:54:46+00:00
444,"Does she know Lisa?
#TommyTiernanShow #TommyTiernan",neutral,1,0,2022-02-19 22:54:36+00:00
445,Loving the range of guests on this season of #TommyTiernanShow 👏🏻,positive,3,0,2022-02-19 22:54:30+00:00
446,"""but nobody suffered as much as she did herself""

what Tommy said about an IRA bomber

#tommytiernan #TommyTiernanShow @Tommedian",negative,1,0,2022-02-19 22:54:03+00:00
447,Remarkable one wouldn’t want to go back and save family and friends ?   #TommyTiernanShow,neutral,3,0,2022-02-19 22:53:57+00:00
448,"Does she know that lad who stayed in Egypt 4 years?
#TommyTiernanshow #TommyTiernan",neutral,0,0,2022-02-19 22:53:49+00:00
449,Always excellent #TommyTiernanShow,positive,1,0,2022-02-19 22:52:56+00:00
450,"Three wonderful and inspiring guests on #TommyTiernanShow tonight..@JackKavanaghIRL ,@ClareEmmadunne &amp; @RazanIRL 💚💫",positive,10,0,2022-02-19 22:52:51+00:00
451,Christ. #TommyTiernanShow 🙄,negative,0,0,2022-02-19 22:52:38+00:00
452,"Razan spent 10 years working hard to save for her college fees. Such an incredible woman!! Super proud of you @RazanIRL
#TommyTiernanShow https://t.co/uTLBIlz473",positive,52,1,2022-02-19 22:52:07+00:00
453,"The three amazing guests on #TommyTiernanShow tonight all share that sense of ‘impossible is nothing’. Incredible people, great telly!",positive,30,0,2022-02-19 22:52:06+00:00
454,"Would Jimmy Carr or #TommyTiernan ever insult her religion then?They wouldn't dare?, but Travellers, Chinese,Nigerians,Indians etc are fair game? Why do they avoid Islam religion then if nothing is off comic limits?
#TommyTiernanShow 
#CatsCountdown #isitok #Thelastleg #lastleg",negative,3,1,2022-02-19 22:51:45+00:00
455,I love the irish twang in her accent with some words when she's talking  #TommyTiernanShow,positive,5,0,2022-02-19 22:51:17+00:00
456,"Had the pleasure of hearing @JackKavanaghIRL speak at the UA Global Summit in 2020, he was as mesmerising &amp; captivating then as he was on the Tommy Tiernan Show tonight #TommyTiernanShow @Tommedian see for yourself: https://t.co/QZFqjT8XVu",positive,6,0,2022-02-19 22:50:57+00:00
457,@LaurenceTheBird There was a war in Syria. It was on the news. #TommyTiernanShow,negative,11,0,2022-02-19 22:50:22+00:00
458,There's no way to imagine Irish people bombing Irish people? #TommyTiernanShow,negative,3,0,2022-02-19 22:50:19+00:00
459,"Random comment about  #TommyTiernanShow I once shot an event for some Syrian people. No exaggerating, they were all stunningly beautiful people, both men and women.",positive,16,0,2022-02-19 22:49:45+00:00
460,“Just after I qualified I became a refugee in Ireland” ? ?  That’s rather convenient …  #TommyTiernanShow,negative,23,4,2022-02-19 22:49:09+00:00
461,"What an eventful life @RazanIRL has lived, but the hardest thing to take in is that she's 40. My goodness, she doesn't look it..... #TommyTiernanShow",positive,3,0,2022-02-19 22:49:08+00:00
462,@RTEOne @Tommedian @RazanIRL I heard RoseAnne    Razan it is 🙂 🌹  Poor #Syria    We are enriched having her here. #TommyTiernanShow,positive,11,1,2022-02-19 22:49:05+00:00
463,"""The one and only Limerick"". Agreed! 🙌🏻🙌🏻💚🤍 #TommyTiernanShow",positive,2,0,2022-02-19 22:49:01+00:00
464,#TommyTiernanShow interview with first guest has viewers saying same thing https://t.co/RZp6qSVBBb,neutral,4,0,2022-02-19 22:49:00+00:00
465,"Lads ffs the late late is a completely different show. Both can exist at the same time. Tommy couldn't present the late late.
Tubs couldn't do this show. That's why they have different shows. 
#TommyTiernanShow",negative,9,0,2022-02-19 22:48:56+00:00
466,"My family always say I'm difficult for Christmas or birthday present well I've a solution now!
Organise an hour of pints for me with Tommy Tiernan
I'll pay for the drink

#TommyTiernanShow",neutral,3,1,2022-02-19 22:48:14+00:00
467,I met @RazanIRL here at Limerick at a protest she's such an inspiration. Your struggle is our struggle #TommyTiernanShow https://t.co/m18MKEDST9,positive,62,2,2022-02-19 22:48:13+00:00
468,"I've seen @RazanIRL on tv before, and Razan is always
so insightful and articulate. #TommyTiernanShow",positive,10,1,2022-02-19 22:47:30+00:00
469,"@Wholeswell Definitely the best chat show by a country mile on any network worldwide n 2022! The #TommyTiernanShow always delivers superb enthralling and revealing interviews with such amazing guests. 
#TommyTiernanShow 
#TalkShow 
#communication 
#RTE",positive,12,1,2022-02-19 22:46:42+00:00
470,I find it so funny when someone learns English with an Irish accent 😂❤️#TommyTiernanShow,neutral,4,0,2022-02-19 22:46:16+00:00
471,"i know a syrian man  
i talk to him every now and again

i asked him about the ashling murphy case he said the man who did that should be hung up by the balls 

#tommytiernan #TommyTiernanShow @Tommedian",negative,1,0,2022-02-19 22:46:07+00:00
472,Great to see @RazanIRL #TommyTiernanShow,positive,1,0,2022-02-19 22:45:52+00:00
473,Fantastic to see the wonderful journalist @RazanIRL on @Tommedian Show. She’s a really interesting woman! #TommyTiernanShow,positive,14,1,2022-02-19 22:45:36+00:00
474,"Plenty of fakes among them. Like that torturer found out and jailed in Germany the other week
#TommyTiernanShow #TommyTiernan",negative,0,1,2022-02-19 22:45:35+00:00
475,Notice anything about the @Knorr ad the @Vichy_USA ad and the @OralB ad ??  #TommyTiernanShow,neutral,11,0,2022-02-19 22:45:27+00:00
476,"Syria was probably safer than here in the 80s.

#TommyTiernanShow",neutral,4,0,2022-02-19 22:44:55+00:00
477,"The final guest chatting to @Tommedian is journalist and activist Razan Ibraheem
 
@RazanIRL 

#TommyTiernanShow https://t.co/4uB5tHVxRy",neutral,185,7,2022-02-19 22:44:54+00:00
478,@LaurenceTheBird @Knorr @Vichy_USA @OralB Going to guess it's something racist #TommyTiernanShow,negative,1,0,2022-02-19 22:44:36+00:00
479,"There's no doubt @Tommedian can really do an insightful interview because he’s actually interested in the person he chats to. As much as I'd love to see him host The Late Late Show, really think it would be a waste of his talent as a master storyteller.... #TommyTiernanShow",positive,1,0,2022-02-19 22:44:16+00:00
480,#TommyTiernanShow one of the Ballyhaunis Ibrahim's ?,neutral,1,0,2022-02-19 22:43:38+00:00
481,@Health_HIV2030 Herself is 4 quid on YouTube. You'd hardly get a cup of tae for that price #TommyTiernanShow,neutral,1,0,2022-02-19 22:43:33+00:00
482,"One of the best things about the  #TommyTiernanShow is nobody is on to plug a book, it’s just about great guests and authentic conversation",positive,88,2,2022-02-19 22:43:06+00:00
483,"Anyone remember the drama series ""Prosperity"". Only half good drama RTE did. Why is not on the RTE player (does the player even work anymore either) We paid for it so all shows should be available. Anyone got it please upload it to YouTube etc
#TommyTiernanShow #TommyTiernan",neutral,0,0,2022-02-19 22:42:20+00:00
484,Notice anything about the @Knorr ad the @Vichy_USA ad and the @OralB ad ??  #TommyTiernanShow,neutral,0,0,2022-02-19 22:41:59+00:00
485,"Did not know @ClareEmmadunne, but will look out for #HerselfFilm Interesting interview. Go Clare #tommytiernan #TommyTiernanShow",positive,8,0,2022-02-19 22:39:56+00:00
486,ClarecDunne is a beautiful  girl so pleasant loved her interview #TommyTiernanShow,positive,9,0,2022-02-19 22:39:35+00:00
487,"#TommyTiernanShow. God, what a brilliant, lovely lady @ClareEmmadunne - wishing her only the best.",positive,6,1,2022-02-19 22:39:04+00:00
488,#TommyTiernanShow how lovely does @ClareEmmadunne come across ?  The very best of luck to her.,positive,6,0,2022-02-19 22:39:00+00:00
489,"#Tommytiernanshow
I could look and listen to  Claire Dunne all night.",positive,9,0,2022-02-19 22:38:16+00:00
490,Love the authenticity and honesty from @ClareEmmadunne on the  #TommyTiernanShow - A really inspiring show this evening!,positive,11,0,2022-02-19 22:37:28+00:00
491,I have to admit I zoned out during Claire's interview. Was it longer than others? #TommyTiernanShow,negative,3,0,2022-02-19 22:37:22+00:00
492,#TommyTiernanShow super rich interview with Claire.  Very deep in a light hearthed way. Tommy gets into the soul of people. He brings the best out.,positive,24,0,2022-02-19 22:36:54+00:00
493,"“If you can, try and make your choices from what gives you a buzz”

@ClareEmmadunne is definitely not planning on writing a Disney remake any time soon 😃

@Tommedian #TommyTiernanShow https://t.co/NKjI1lhD0K",neutral,140,9,2022-02-19 22:35:13+00:00
494,An inspirational interview that very quickly turns the viewer from initial sympathy to admiration #TommyTiernanShow https://t.co/sBb8EPdZTO,positive,29,0,2022-02-19 22:35:01+00:00
495,"Is Tommy's beard 20 years older than the rest of his face?
#TommyTiernanShow #Tommytiernan",neutral,1,0,2022-02-19 22:34:40+00:00
496,"The best interview yet 👏 #TommyTiernanShow- @JackKavanaghIRL talks about his injury, recovery,
rehabilitation &amp; his relationships. #inspirational #resilience #rolemodel https://t.co/Jo9L11abFS",positive,22,0,2022-02-19 22:34:28+00:00
497,"His chat with Tommy struck a chord #TommyTiernanShow 

https://t.co/OvNp8Hcxun",neutral,8,0,2022-02-19 22:33:48+00:00
498,"10 kids is some plan! 

#TommyTiernanShow",neutral,3,0,2022-02-19 22:33:11+00:00
499,I'm sorry but... #TommyTiernanShow https://t.co/ZFLtkZVyrw,neutral,2,0,2022-02-19 22:32:42+00:00
500,Looking forward to #TommyTiernanShow interview with #clairebyrne s cousin https://t.co/Ysft0oXCnS,positive,0,0,2022-02-19 22:32:19+00:00
501,"What a lovely question - ‘who do you come from’. Such a great, probing and inquisitive question. #TommyTiernanShow",positive,23,0,2022-02-19 22:31:57+00:00
502,@paddybrady99 Sleepy? Probably reading your own tweets #TommyTiernanShow,negative,5,0,2022-02-19 22:31:51+00:00
503,"“There’s days when you just need to pull the curtains and be with yourself”

@JackKavanaghIRL talks to @Tommedian about life since his spinal cord injury in 2012.

#TommyTiernanShow | @RTEOne

https://t.co/MV3dfs7iRI",neutral,119,7,2022-02-19 22:31:48+00:00
504,"Bet no one watched the first series of Love Hate in 2010. Most people just got on the bandwagon the next few years to that overrated trash and waste of Licence money as the finale proved too
#TommyTiernanShow #TommyTiernan",negative,0,0,2022-02-19 22:31:36+00:00
505,"Delighted RTE are producing a chat show that has authenticity about it &amp; a talented interviewer who bring out the best in their guests in the master storyteller yet eager listener @Tommedian. Finally, a Late Late Show for our generation.... #TommyTiernanShow",positive,13,0,2022-02-19 22:31:32+00:00
506,Sorry but clare dunne after JAck Kavanagh is such a zzzzzz #TommyTiernanShow,negative,4,0,2022-02-19 22:30:29+00:00
507,Amazing interview with @JackKavanaghIRL #TommyTiernanShow,positive,2,0,2022-02-19 22:29:45+00:00
508,"#TommyTiernanShow ""...,yeah, the budget is 25 grand..."" @DermotBannon https://t.co/cJ7P0POdJO",neutral,10,2,2022-02-19 22:29:28+00:00
509,"#TommyTiernanShow 
Wait, she's a storyteller 

Now , we have ya!",neutral,1,0,2022-02-19 22:29:27+00:00
510,"Irish women in film, creating and acting in a film about independent women. We love to see it.  #TommyTiernanShow",positive,19,0,2022-02-19 22:28:49+00:00
511,"That has to be one of the best interviews I’ve seen, @JackKavanaghIRL you are champion #TommyTiernanShow https://t.co/yBTDLC2AOj",positive,5,0,2022-02-19 22:28:35+00:00
512,"The woman she is talking about was homeless because HAP limits are way too low and rent inflation is our of control
#TommyTiernanShow #TommyTiernan",negative,2,1,2022-02-19 22:28:06+00:00
513,"Incredible interview with @JackKavanaghIRL and @Tommedian #TommyTiernanShow Such positivity and determination, a proper role model! A very special interview",positive,8,0,2022-02-19 22:27:30+00:00
514,"#TommyTiernanShow 

Anyone know what's going on here?",neutral,1,0,2022-02-19 22:27:03+00:00
515,"It's simple. FG FF and Greens just need to build council houses now as we did from the 1920s to 1980s
#TommyTiernanShow #TommyTiernan",neutral,3,1,2022-02-19 22:26:37+00:00
516,#TommyTiernanShow Another week another amazing interview @JackKavanaghIRL what a remarkable man you are. Inspiring doesn’t even cover it - just blown away by your story and strength,positive,7,0,2022-02-19 22:25:42+00:00
517,"Can she donate any proceeds to housing charities please?
#TommyTiernanShow #TommyTiernan",neutral,0,0,2022-02-19 22:25:06+00:00
518,The interview with #JackKavanagh is the inspiration I didn’t know I needed today! Thank you @Tommedian #TommyTiernanShow https://t.co/O3jYElAU5H,positive,27,1,2022-02-19 22:24:31+00:00
519,"#TommyTiernanShow 
Not only does the camera love Claire Dunne, but she has a great accent too.",positive,16,0,2022-02-19 22:24:07+00:00
520,"That's up there with one of the best interviews I’ve ever watched. What a true inspiration @JackKavanaghIRL is  #TommyTiernanShow @RTEOne 

Great character &amp; lots of laughter, such a positive outlook on life! ✨ #respect 
Amazing interview @Tommedian 👏🏻

#gratitude #Empowerment",positive,12,0,2022-02-19 22:23:57+00:00
521,@HughGillanders Couldn’t agree more. Inspirational!#TommyTiernanShow #RTE,positive,6,0,2022-02-19 22:23:51+00:00
522,Well done @JackKavanaghIRL #TommyTiernanShow you are such an inspiration. Your happiness shines through. Thank you🥰,positive,7,0,2022-02-19 22:23:28+00:00
523,@GiftGrubMario @rte Yep who would have thought we’d want Marty back with the dumb wheel BUT what a powerful interview with #TommyTiernanShow,positive,0,0,2022-02-19 22:23:20+00:00
524,@JackKavanaghIRL on  #TommyTiernanShow was simply inspiring #Resilience #Humour #Strength #Character,positive,1,0,2022-02-19 22:23:14+00:00
525,"Dominic Stephens... GRMA Ciara for reminding me about that...  and a nice house it was for 25k... 

#TommyTiernanShow",neutral,1,0,2022-02-19 22:22:58+00:00
526,"The wildly talented &amp; utterly charming @ClareEmmadunne is destined for such big things. Still need to check out Herself. So glad the utterly terrific Kin is getting a 2nd season, but hope due to his MCU commitments Charlie Cox isn't forced to not be involved #TommyTiernanShow",positive,3,0,2022-02-19 22:22:57+00:00
527,@SimonHarrisTD @JackKavanaghIRL What about the #scoliosis  children ?? #TommyTiernanShow,negative,2,0,2022-02-19 22:22:52+00:00
528,"jeez she was in some huge films  

The Last Duel
Spider-Man: Far from Home

 #tommytiernan #TommyTiernanShow @Tommedian",neutral,1,0,2022-02-19 22:22:40+00:00
529,"I remember @JackKavanaghIRL’s accident so well, as he was the year behind me in pharmacy. It was unthinkable. But 10 years on and he’s just as impressive as he was then. The determination, the clarity of mind. Beautiful interview with @Tommedian #TommyTiernanShow",positive,26,0,2022-02-19 22:22:20+00:00
530,"Tommy Tiernan has to be one of the best interviewers you'll ever see! How? He's just being himself, simple as. 
#TommyTiernanShow",positive,29,1,2022-02-19 22:21:50+00:00
531,Absolutely fantastic interview with tonight's first guest @jackkavanaghIRL Brilliant. #TommyTiernanShow,positive,5,0,2022-02-19 22:21:25+00:00
532,"Tommy and Jack, what an interview, a lovely kid!!👏#TommyTiernanShow",positive,2,0,2022-02-19 22:20:40+00:00
533,"Remarkable interview with @JackKavanaghIRL on #TommyTiernanShow , what an inspiring man Jack is and how much he enjoyed the chat with Tommy, who treated Jack as an equal with such dignity, humour, and respect, just brilliant 👏🏻",positive,15,0,2022-02-19 22:20:23+00:00
534,"#TommyTiernanShow @JackKavanaghIRL
Incredible TV, what an interview, two lads having the craic, incredible emotion and vulnerability, nothing taboo, for once worth paying the TV licence 👏👏",positive,21,0,2022-02-19 22:20:21+00:00
535,What a great interview with  inspirational @JackKavanaghIRL - #TommyTiernanShow https://t.co/PoyCDH7TIH,positive,19,1,2022-02-19 22:20:21+00:00
536,"I’d say a few pints in the company of
@Tommedian and @JackKavanaghIRL would be mighty craic altogether 🤪

Great interview!

#TommyTiernanShow",positive,10,0,2022-02-19 22:20:12+00:00
537,So lovely to see the fabulous @ClareEmmadunne on #TommyTiernanShow,positive,6,0,2022-02-19 22:19:35+00:00
538,"The second guest chatting to @Tommedian tonight is writer and actor @ClareEmmadunne 🎉🎉

#TommyTiernanShow https://t.co/E5IEYD4Uhb",neutral,56,3,2022-02-19 22:19:17+00:00
539,"I can't complement @Tommedian and his ability to interview famous people and everyday people treating them all the same! Someone I really look up to as I am entering my career of interviewing people and broadcasting. Great interview with @JackKavanaghIRL 👏👏
#TommyTiernanShow",positive,61,1,2022-02-19 22:19:07+00:00
540,#TommyTiernanShow first time tuning in and @JackKavanaghIRL you have me in awe of you 💗,positive,5,0,2022-02-19 22:18:44+00:00
541,What an amazing interview wow just very genuine and insightful. Beautiful. @JackKavanaghIRL #TommyTiernanShow,positive,5,0,2022-02-19 22:18:25+00:00
542,Laughing and crying @JackKavanaghIRL You are just brilliant #TommyTiernanShow,positive,9,0,2022-02-19 22:18:05+00:00
543,A Mrs Kinsella!!! #TommyTiernanShow,neutral,2,0,2022-02-19 22:18:01+00:00
544,Irish Mammies all over the country Googling how to get their daughters a date with Jack Kavanagh. #TommyTiernanShow https://t.co/VHkPuH3fx2,positive,37,0,2022-02-19 22:17:38+00:00
545,"Nothing was off the cards in that interview with @JackKavanaghIRL honest, mature and sincere along with some laughs 👏#TommyTiernanShow",positive,7,0,2022-02-19 22:17:04+00:00
546,We all need to be more like Jack #TommyTiernanShow ❤️💫⭐️👏,positive,2,0,2022-02-19 22:16:59+00:00
547,"#TommyTiernanShow @Tommedian @JackKavanaghIRL  wow! Amazing interview, the world needs more like Jack, what a beautiful human. Tears and joy at the same time, inspirational and beautiful!",positive,2,0,2022-02-19 22:16:48+00:00
548,I can’t find the words to describe the conversation that just happened between @Tommedian &amp; @JackKavanaghIRL It was something really special and I’ll be thinking about it for days to come #TommyTiernanShow,positive,111,2,2022-02-19 22:16:38+00:00
549,The #TommyTiernanShow never fails to deliver that young man @JackKavanaghIRL was a joy to listen too..so positive and refreshing wish him all the luck in the world going forward 👏🏻👏🏻👏🏻,positive,8,0,2022-02-19 22:16:19+00:00
